,year_x,rank_x,country,regional indicator_x,ladder score_x,log GDP per capita_x,social support_x,healthy life expectancy_x,freedom to make life choices_x,generosity_x,perceptions of corruption_x,dystopia + residual_x,whisker-high_x,whisker-low_x,year_y,rank_y,regional indicator_y,ladder score_y,log GDP per capita_y,social support_y,healthy life expectancy_y,freedom to make life choices_y,generosity_y,perceptions of corruption_y,dystopia + residual_y,whisker-high_y,whisker-low_y,Change_of_ladder_score,Change_of_ftmlc_rate,Change_of_poc_rate,Change_of_ss_rate,lockdown,_merge
13,2023,14,Ireland,Western Europe,6.911,2.152,1.425,0.539,0.656,0.186,0.409,1.545,6.996,6.825,2020,16,Western Europe,7.093699932,1.446886778,1.470596433,0.975670695,0.587779939,0.295426995,0.373433262,1.943878174,7.171832085,7.01556778,-0.18269993200000023,0.068220061,0.03556673799999999,-0.04559643300000005,Full,both
14,2023,15,United States,North America and ANZ,6.894,1.98,1.46,0.39,0.557,0.21,0.172,2.124,6.986,6.802,2020,18,North America and ANZ,6.939599991,1.37398684,1.404786706,0.831618011,0.534608245,0.298143059,0.152284741,2.344124794,7.032339573,6.846860409,-0.04559999099999956,0.022391755000000013,0.019715258999999985,0.05521329399999986,Partial,both
15,2023,16,Germany,Western Europe,6.892,1.919,1.401,0.539,0.618,0.153,0.365,1.898,6.989,6.795,2020,17,Western Europe,7.075799942,1.314184546,1.368543744,0.972114801,0.564274132,0.252037704,0.309362292,2.295249462,7.145595074,7.00600481,-0.18379994199999938,0.05372586800000001,0.05563770800000001,0.03245625600000013,Full,both
16,2023,17,Belgium,Western Europe,6.859,1.907,1.449,0.528,0.59,0.137,0.273,1.976,6.926,6.793,2020,20,Western Europe,6.863500118,1.295842767,1.398677588,0.964901149,0.499805421,0.146966159,0.208724052,2.348626614,6.930866241,6.796133995,-0.004500118000000164,0.09019457899999994,0.06427594800000003,0.050322412000000094,Full,both
17,2023,19,United Kingdom,Western Europe,6.796,1.857,1.366,0.511,0.626,0.272,0.34,1.822,6.877,6.714,2020,13,Western Europe,7.164500237,1.273061037,1.457844973,0.97570008,0.525168657,0.373433441,0.322601646,2.236721992,7.237337589,7.091662884,-0.3685002370000001,0.10083134299999996,0.017398354000000005,-0.09184497299999994,Full,both
18,2023,20,Lithuania,Central and Eastern Europe,6.763,1.808,1.511,0.432,0.487,0.059,0.089,2.377,6.849,6.677,2020,41,Central and Eastern Europe,6.215499878,1.193559647,1.432865739,0.795421183,0.42046079,0.053691041,0.081350274,2.238146067,6.302118301,6.128881454,0.5475001219999998,0.06653921000000002,0.007649725999999996,0.07813426099999998,Full,both
19,2023,21,France,Western Europe,6.661,1.856,1.433,0.566,0.582,0.083,0.27,1.872,6.735,6.588,2020,23,Western Europe,6.663799763,1.268129349,1.458839178,1.029714227,0.514050901,0.112607703,0.227303237,2.053198338,6.737450123,6.590149403,-0.0027997630000005103,0.06794909900000001,0.042696763000000026,-0.025839178000000018,Full,both
20,2023,22,Slovenia,Central and Eastern Europe,6.65,1.815,1.539,0.532,0.707,0.144,0.113,1.799,6.75,6.55,2020,33,Central and Eastern Europe,6.363399982,1.208652496,1.464677691,0.932548046,0.646700144,0.145701498,0.076516323,1.888586521,6.449328899,6.277471066,0.28660001800000057,0.060299855999999985,0.036483677000000006,0.07432230900000003,Full,both
21,2023,23,Costa Rica,Latin America and Caribbean,6.609,1.587,1.34,0.503,0.683,0.099,0.116,2.281,6.71,6.507,2020,15,Latin America and Caribbean,7.121399879,0.981107712,1.374853611,0.939635336,0.645017743,0.131266311,0.096362092,2.953135014,7.209239483,7.033560276,-0.5123998790000002,0.03798225700000002,0.01963790800000001,-0.03485361099999995,Full,both
22,2023,24,Romania,Central and Eastern Europe,6.589,1.726,1.28,0.423,0.631,0.044,0.0,2.485,6.69,6.488,2020,47,Central and Eastern Europe,6.123700142,1.120401621,1.1944381,0.79229486,0.534852326,0.068181619,0.000829569,2.412749767,6.216668129,6.030732155,0.46529985800000073,0.09614767400000002,-0.000829569,0.08556190000000008,Full,both
